"","traits"
"1847","response to combination chemotherapy"
"1848","Tendinopathy"
"1849","ligament rupture"
"1850","clopidogrel metabolite measurement"
"1851","blood osmolality measurement"
"1852","tissue factor pathway inhibitor measurement"
"1853","cognitive inhibition measurement"
"1854","estrone conjugate measurement"
"1855","androstenedione measurement"
"1856","palmitoleic acid measurement"
"1857","vaccenic acid measurement"
"1858","erucic acid measurement"
"1859","nervonic acid measurement"
"1860","cognitive impairment measurement"
"1861","diabetic foot"
"1862","lower body strength measurement"
"1863","peak insulin response measurement"
"1864","insulin secretion rate measurement"
"1865","physical activity measurement"
"1866","heart rate variability measurement"
"1867","resting metabolic rate measurement"
"1868","energy expenditure measurement"
"1869","skin aging measurement"
"1870","interleukin 15 receptor subunit alpha measurement"
"1871","interleukin 16 measurement"
"1872","interleukin 17 measurement"
"1873","interleukin 17 receptor A measurement"
"1874","interleukin 17 receptor B measurement"
"1875","interleukin 17 receptor D measurement"
"1876","interleukin 18 receptor 1 measurement"
"1877","interleukin 18 receptor accessory protein measurement"
"1878","interleukin 19 measurement"
"1879","interleukin 23 receptor measurement"
"1880","interleukin 25 measurement"
"1881","interleukin 27 receptor subunit alpha measurement"
"1882","interleukin 4 measurement"
"1883","interleukin 5 measurement"
"1884","interleukin 5 receptor subunit alpha measurement"
"1885","interleukin 6 receptor subunit alpha measurement"
"1886","interleukin 6 receptor subunit beta measurement"
"1887","interleukin 7 measurement"
"1888","interleukin 7 receptor subunit alpha measurement"
"1889","interleukin 8 measurement"
"1890","interleukin 9 measurement"
"1891","interstitial collagenase measurement"
"1892","kallikrein-12 measurement"
"1893","kallikrein-7 measurement"
"1894","kallistatin measurement"
"1895","killer cell immunoglobulin-like receptor 2DL4 measurement"
"1896","kininogen-1 measurement"
"1897","Kunitz-type protease inhibitor 2 measurement"
"1898","kynureninase measurement"
"1899","L-Selectin measurement"
"1900","lactadherin measurement"
"1901","left ventricular diastolic function measurement"
"1902","left ventricular structural measurement"
"1903","left ventricular systolic function measurement"
"1904","leucine carboxyl methyltransferase 1 measurement"
"1905","leukocyte immunoglobulin-like receptor subfamily B member 1 measurement"
"1906","low affinity immunoglobulin epsilon Fc receptor measurement"
"1907","low affinity immunoglobulin gamma Fc region receptor II-a/b measurement"
"1908","low affinity immunoglobulin gamma Fc region receptor III-B measurement"
"1909","low molecular weight phosphotyrosine protein phosphatase measurement"
"1910","lower urinary tract symptom"
"1911","lymphotactin measurement"
"1912","lysosomal protective protein measurement"
"1913","lysozyme C measurement"
"1914","macrophage colony stimulating factor measurement"
"1915","macrophage inflammatory protein 1a measurement"
"1916","macrophage inflammatory protein 1b measurement"
"1917","macrophage metalloelastase measurement"
"1918","macrophage migration inhibitory factor measurement"
"1919","macrophage scavenger receptor types I and II measurement"
"1920","mannan-binding lectin serine protease 1 measurement"
"1921","mannose-binding protein C measurement"
"1922","MAP kinase-activated protein kinase 2 measurement"
"1923","MAP kinase-activated protein kinase 3 measurement"
"1924","matrilysin measurement"
"1925","mediator of RNA polymerase II transcription subunit 1 measurement"
"1926","melanoma-derived growth regulatory protein measurement"
"1927","mental development measurement"
"1928","metalloproteinase inhibitor 3 measurement"
"1929","methionine aminopeptidase 2 measurement"
"1930","MHC class I polypeptide-related sequence A measurement"
"1931","MHC class I polypeptide-related sequence B measurement"
"1932","monocyte chemotactic protein 3 measurement"
"1933","monokine induced by gamma interferon measurement"
"1934","motor development measurement"
"1935","myeloid cell surface antigen CD33 measurement"
"1936","N-acetyl-D-glucosamine kinase measurement"
"1937","N-acylethanolamine-hydrolyzing acid amidase measurement"
"1938","NAD-dependent protein deacetylase sirtuin-2 measurement"
"1939","NADPH--cytochrome P450 reductase measurement"
"1940","natural cytotoxicity triggering receptor 3 measurement"
"1941","neurexophilin-1 measurement"
"1942","neurodevelopmental measurement"
"1943","neurogenic locus notch homolog protein 1 measurement"
"1944","neutral ceramidase measurement"
"1945","neutrophil collagenase measurement"
"1946","nidogen-1 measurement"
"1947","NKG2-D type II integral membrane protein measurement"
"1948","non-receptor tyrosine-protein kinase TYK2 measurement"
"1949","OCIA domain-containing protein 1 measurement"
"1950","OX-2 membrane glycoprotein measurement"
"1951","P-Selectin measurement"
"1952","particulate matter air pollution measurement"
"1953","peptidyl-prolyl cis-trans isomerase D measurement"
"1954","peptidyl-prolyl cis-trans isomerase E measurement"
"1955","persulfide dioxygenase ETHE1, mitochondrial measurement"
"1956","phospholipase A2, membrane associated measurement"
"1957","plasma kallikrein measurement"
"1958","plasma protease C1 inhibitor measurement"
"1959","platelet glycoprotein 4 measurement"
"1960","platelet glycoprotein VI measurement"
"1961","platelet-derived growth factor BB measurement"
"1962","platelet-derived growth factor receptor beta measurement"
"1963","plexin-C1 measurement"
"1964","polymeric immunoglobulin receptor measurement"
"1965","programmed cell death 1 ligand 2 measurement"
"1966","properdin measurement"
"1967","proprotein convertase subtilisin/kexin type 7 measurement"
"1968","protein jagged-1 measurement"
"1969","proto-oncogene tyrosine-protein kinase receptor Ret measurement"
"1970","repulsive guidance molecule A measurement"
"1971","retinoic acid receptor responder protein 2 measurement"
"1972","S-formylglutathione hydrolase measurement"
"1973","scavenger receptor class F member 1 measurement"
"1974","Secreted frizzled-related protein 3 measurement"
"1975","semaphorin-3A measurement"
"1976","semaphorin-3E measurement"
"1977","serine protease 27 measurement"
"1978","serine/threonine-protein kinase 17B measurement"
"1979","serum amyloid A-1 protein measurement"
"1980","serum amyloid P-component measurement"
"1981","sialic acid-binding Ig-like lectin 14 measurement"
"1982","sialic acid-binding Ig-like lectin 6 measurement"
"1983","sialic acid-binding Ig-like lectin 9 measurement"
"1984","SLAM family member 7 measurement"
"1985","small nuclear ribonucleoprotein F measurement"
"1986","SPARC-like protein 1 measurement"
"1987","spondin-1 measurement"
"1988","stem Cell Factor measurement"
"1989","stem Cell Growth Factor beta measurement"
"1990","stromal cell-derived factor 1 alpha measurement"
"1991","superoxide dismutase [Mn], mitochondrial measurement"
"1992","T-lymphocyte surface antigen Ly-9 measurement"
"1993","tenascin measurement"
"1994","teratocarcinoma-derived growth factor 1 measurement"
"1995","thioredoxin domain-containing protein 12 measurement"
"1996","response to paliperidone"
"1997","core binding factor acute myeloid leukemia"
"1998","hyper-inflammatory immune response"
"1999","schizophrenia symptom severity measurement"
"2000","ventricular rate measurement"
"2001","triglyceride:HDL cholesterol ratio"
"2002","LDL cholesterol:HDL cholesterol ratio"
"2003","non-HDL cholesterol:HDL cholesterol ratio"
"2004","mulitple keratinocyte carcinoma susceptibility measurement"
"2005","generalized anxiety disorder"
"2006","ovarian clear cell adenocarcinoma"
"2007","blood protein measurement"
"2008","coronary atherosclerosis measurement"
"2009","respiratory symptom measurement"
"2010","chronic venous insufficiency"
"2011","LDH-related sciatica symptom severity measurement"
"2012","hip osteoarthritis symptom severity measurement"
"2013","hypersensitivity reaction disease"
"2014","drug hypersensitivity syndrome"
"2015","lumbar disc herniation"
"2016","response to platinum-based neoadjuvant chemotherapy"
"2017","Neonatal sepsis"
"2018","antiphospholipid syndrome"
"2019","premature birth"
"2020","urinary 1,3-butadiene measurement"
"2021","TP53 positive breast cancer"
"2022","adult onset asthma"
"2023","platelet distribution width"
"2024","plateletcrit"
"2025","reticulocyte count"
"2026","granulocyte count"
"2027","myeloid white cell count"
"2028","monocyte percentage of white cells"
"2029","neutrophil percentage of white cells"
"2030","eosinophil percentage of white cells"
"2031","basophil percentage of white cells"
"2032","lymphocyte percentage of white cells"
"2033","neutrophil percentage of granulocytes"
"2034","basophil percentage of granulocytes"
"2035","eosinophil percentage of granulocytes"
"2036","granulocyte percentage of myeloid white cells"
"2037","uveal melanoma"
"2038","thrombospondin-2 measurement"
"2039","TNF-related apoptosis-inducing ligand measurement"
"2040","toll-like receptor 4:Lymphocyte antigen 96 complex measurement"
"2041","transforming growth factor-beta-induced protein ig-h3 measurement"
"2042","transmembrane glycoprotein NMB measurement"
"2043","trefoil factor 3 measurement"
"2044","trypsin-2 measurement"
"2045","tryptase beta-2 measurement"
"2046","tuberculin skin test reactivity measurement"
"2047","tumor necrosis factor beta measurement"
"2048","tumor necrosis factor receptor superfamily member 19L measurement"
"2049","tumor necrosis factor receptor superfamily member EDAR measurement"
"2050","tumor necrosis factor-inducible gene 6 protein measurement"
"2051","tyrosine-protein kinase receptor Tie-1, soluble measurement"
"2052","UMP-CMP kinase measurement"
"2053","vascular endothelial growth factor receptor 2 measurement"
"2054","vascular endothelial growth factor receptor 3 measurement"
"2055","vaso-occlusive pain measurement"
"2056","very low density lipoprotein cholesterol measurement"
"2057","vitamin K-dependent protein C measurement"
"2058","WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 measurement"
"2059","white matter volume measurement"
"2060","WNT1-inducible-signaling pathway protein 1 measurement"
"2061","a disintegrin and metalloproteinase with thrombospondin motifs 5 measurement"
"2062","alpha-1-antitrypsin measurement"
"2063","chronotype measurement"
"2064","facial emotion recognition measurement"
"2065","fear of pain measurement"
"2066","interleukin 2 measurement"
"2067","interleukin 2 receptor antagonist measurement"
"2068","T wave amplitude"
"2069","TpTe measurement"
"2070","ventricular repolarisation duration measurement"
"2071","cervical squamous cell carcinoma"
"2072","decreased susceptibility to bacterial infection"
"2073","hypocretin deficiency"
"2074","response to sulfasalazine"
"2075","response to sotalol"
"2076","Huntington disease"
"2077","disease progression measurement"
"2078","psychosis predisposition measurement"
"2079","fear of severe pain measurement"
"2080","fear of medical pain measurement"
"2081","fear of minor pain measurement"
"2082","apolipoprotein B measurement"
"2083","Henoch-Schoenlein purpura"
"2084","angina pectoris"
"2085","percutaneous transluminal coronary angioplasty"
"2086","ischemic cardiomyopathy"
"2087","follicular thyroid carcinoma"
"2088","papillary thyroid carcinoma"
"2089","infant"
"2090","Hepatitis, Alcoholic"
"2091","age at menarche"
"2092","podoconiosis"
"2093","pemphigus vulgaris"
"2094","serum amyloid a protein measurement"
"2095","renal system measurement"
"2096","thyroid stimulating hormone measurement"
"2097","genetic variation"
"2098","response to gemcitabine"
"2099","callous character"
"2100","adhesion molecule measurement"
"2101","amygdala reactivity measurement"
"2102","CYP3A4 activity"
"2103","phenylalanine measurement"
"2104","QRS duration"
"2105","antiphospholipid antibody measurement"
"2106","eating disorder"
"2107","congenital heart disease"
"2108","aortic valve calcification"
"2109","body weight loss"
"2110","malignant pleural mesothelioma"
"2111","osteosarcoma"
"2112","sleep duration"
"2113","cardiovascular disease biomarker measurement"
"2114","migraine without aura"
"2115","reading and spelling ability"
"2116","Brugada syndrome"
"2117","Sjogren syndrome"
"2118","liver disease"
"2119","chemotherapy-induced alopecia"
"2120","colorectal adenoma"
"2121","functional impairment measurement"
"2122","serum dimethylarginine measurement"
"2123","autism spectrum disorder symptom"
"2124","large artery stroke"
"2125","Trypanosoma cruzi seropositivity"
"2126","limb dystonia"
"2127","serum metabolite measurement"
"2128","response to cytosine arabinoside"
"2129","urinary uromodulin measurement"
"2130","anterior chamber depth measurement"
"2131","chronic mucus hypersecretion"
"2132","omega-6 polyunsaturated fatty acid measurement"
"2133","plasma trimethylamine N-oxide measurement"
"2134","age-related nuclear cataract"
"2135","Birdshot chorioretinopathy"
"2136","opioid dependence"
"2137","C-C motif chemokine 3-like 1 measurement"
"2138","CD209 antigen measurement"
"2139","catalase measurement"
"2140","allergen exposure measurement"
"2141","urgency urinary incontinence"
"2142","pit and fissure surface dental caries"
"2143","metabolic network measurement"
"2144","Hodgkin's lymphoma, mixed cellularity"
"2145","behavioural inhibitory control measurement"
"2146","midregional pro atrial natriuretic peptide measurement"
"2147","B-type natriuretic peptide to N-terminal pro B-type natriuretic peptide ratio"
"2148","dietary potassium intake measurement"
"2149","insulin response measurement"
"2150","spine bone mineral density change measurement"
"2151","mood instability measurement"
"2152","delayed reward discounting measurement"
"2153","response to trauma exposure"
"2154","homosexuality"
"2155","male homosexuality"
"2156","epigenetic status"
"2157","helping behavior measurement"
"2158","sperm motility measurement"
"2159","corneal astigmatism"
"2160","response to taxane"
"2161","thrombin activatable fibrinolysis inhibitor activation peptide measurement"
"2162","risk-taking behaviour"
"2163","Plantar Fasciitis"
"2164","Plantar Fibromatosis"
"2165","hyperuricemia"
"2166","non-typhoidal Salmonella bacteremia"
"2167","high altitude adaptation"
"2168","clostridium difficile infection"
"2169","response to polyunsaturated fatty acid supplementation"
"2170","cholesterol efflux capacity measurement"
"2171","cholesteryl ester transfer protein measurement"
"2172","trimethyllysine measurement"
"2173","heart rate response to exercise"
"2174","heart rate response to recovery post exercise"
"2175","Abruptio Placentae"
"2176","interventricular septum thickness"
"2177","E/A ratio"
"2178","neurobehavioral manifestations"
"2179","memory impairment"
"2180","Alopecia"
"2181","skin disease"
"2182","susceptibility to infectious disease measurement"
"2183","nicotine withdrawal measurement"
"2184","energy intake measurement"
"2185","alcohol use disorder measurement"
"2186","ACPA-negative rheumatoid arthritis"
"2187","ACPA-positive rheumatoid arthritis"
"2188","bacterial endocarditis"
"2189","Löfgren’s syndrome"
"2190","response to anti-vascular endothelial growth factor drug"
"2191","coping behaviour measurement"
"2192","Guillain-Barre syndrome"
"2193","hyperthyroidism"
"2194","AQP4-IgG-positive neuromyelitis optica"
"2195","AQP4-IgG-negative neuromyelitis optica"
"2196","skin hydration measurement"
"2197","anhedonia measurement"
"2198","social interaction measurement"
"2199","worry measurement"
"2200","irritability measurment"
"2201","feeling miserable measurement"
"2202","mood change measurement"
"2203","feeling ""fed-up"" measurement"
"2204","feeling nervous measurement"
"2205","feeling tense measurement"
"2206","feeling emotionally hurt measurement"
"2207","guilt measurement"
"2208","verbal memory measurement"
"2209","visual memory measurement"
"2210","stroke outcome severity measurement"
"2211","Marfan syndrome"
"2212","amebiasis"
"2213","Charcot-Marie-Tooth disease type 1A"
"2214","thiopurine metabolite measurement"
"2215","fractures, ununited"
"2216","red blood cell folate measurement"
"2217","epilepsy with generalized tonic-clonic seizures"
"2218","intra-individual reaction time variability measurement"
"2219","latent autoimmune diabetes in adults"
"2220","HER2 positive breast carcinoma"
"2221","dissociation measurement"
"2222","response to ketamine"
"2223","age at first sexual intercourse measurement"
"2224","facial asymmetry measurement"
"2225","visuospatial impairment"
"2226","Chronic Obstructive Asthma"
"2227","Juvenile myoclonic epilepsy"
"2228","Juvenile absence epilepsy"
"2229","Childhood absence epilepsy"
"2230","anti-Mullerian hormone measurement"
"2231","estrogen receptor status"
"2232","periprosthetic osteolysis"
"2233","place of residence measurement"
"2234","vascular disease"
"2235","body weights and measures"
"2236","Abnormality of lipid metabolism"
"2237","asparaginase activity measurement"
"2238","fatty acid desaturase enzyme activity measurement"
"2239","valine measurement"
"2240","isoleucine measurement"
"2241","NRF2 measurement"
"2242","serum urea measurement"
"2243","response to supplemental oxygen"
"2244","lung disease associated with cystic fibrosis"
"2245","Modic type vertebral endplate changes"
"2246","appendicitis"
"2247","transcriptome measurement"
"2248","nonischemic cardiomyopathy"
"2249","anxiety measurement"
"2250","urinary potassium to creatinine ratio"
"2251","urinary sodium to creatinine ratio"
"2252","urinary sodium to potassium ratio"
"2253","frailty measurement"
"2254","tinnitus"
"2255","narcolepsy"
"2256","urolithiasis"
"2257","carbamazepine metabolite measurement"
"2258","lean mass-adjusted fat body mass"
"2259","anti-thyroglobulin antibody measurement"
"2260","oral ulcer"
"2261","handedness"
"2262","central nervous system non-hodgkin lymphoma"
"2263","colonic diverticula"
"2264","Peptic ulcer and gastro-oesophageal reflux disease (GORD) drug use measurement"
"2265","Drugs used in diabetes use measurement"
"2266","Antithrombotic agent use measurement"
"2267","Vasodilators used in cardiac diseases use measurement"
"2268","Antihypertensive use measurement"
"2269","Diuretic use measurement"
"2270","Beta blocking agent use measurement"
"2271","Calcium channel blocker use measurement"
"2272","Agents acting on the renin-angiotensin system use measurement"
"2273","HMG CoA reductase inhibitor use measurement"
"2274","Thyroid preparation use measurement"
"2275","Immunosuppressant use measurement"
"2276","Non-steroidal anti-inflammatory and antirheumatic product use measurement"
"2277","Drugs affecting bone structure and mineralization use measurement"
"2278","Opioid use measurement"
"2279","Anilide use measurement"
"2280","Antimigraine preparation use measurement"
"2281","Antidepressant use measurement"
"2282","Inhalant adrenergic use measurement"
"2283","Glucocorticoid use measurement"
"2284","Antihistamine use measurement"
"2285","Antiglaucoma preparations and miotics use measurement"
"2286","psychological resilience measurement"
"2287","low density lipoprotein triglyceride measurement"
"2288","nucleoside diphosphate kinase A measurement"
"2289","chorioamnionitis"
"2290","KANNO antigen measurement"
"2291","post-operative atrial fibrillation"
"2292","post-operative myocardial infarction"
"2293","post-operative delirium"
"2294","post-operative acute kidney injury"
"2295","post-operative stroke"
"2296","response to surgery"
"2297","post-operative sign or symptom"
"2298","Reduced ejection fraction"
"2299","pemphigus"
"2300","response to bisphosphonate"
"2301","atypical femoral fracture"
"2302","susceptibility to measles measurement"
"2303","susceptibility to hepatitis A infection measurement"
"2304","susceptibility to rheumatic fever measurement"
"2305","susceptibility to common cold measurement"
"2306","susceptibility to rubella infection measurement"
"2307","susceptibility to chronic sinus infection measurement"
"2308","parietal cortex measurement"
"2309","non-alcoholic fatty liver disease severity measurement"
"2310","IgG monogalactosylation measurement"
"2311","IgG digalactosylation measurement"
"2312","IgG galactosylation measurement"
"2313","IgG bisecting N-acetyl glucosamine measurement"
"2314","IgG fucosylation measurement"
"2315","IgG sialylation measurement"
"2316","IgG disialylation measurement"
"2317","IgG monosialylation measurement"
"2318","maximal voluntary ventilation"
"2319","lipoprotein-associated phospholipase A(2) change measurement"
"2320","pursuit maintenance gain measurement"
"2321","initial pursuit acceleration"
"2322","gestational weight gain measurement"
"2323","late gestational weight gain"
"2324","early gestational weight gain"
"2325","growth hormone measurement"
"2326","chronic rhinosinusitis"
"2327","response to carbamazepine"
"2328","chronic rhinosinusitis with nasal polyps"
"2329","chronic rhinosinusitis without nasal polyps"
"2330","meningeal tuberculosis"
"2331","kynurenine measurement"
"2332","kynurenine:tryptophan ratio"
"2333","GLP-1-stimulated insulin response"
"2334","clinically amyopathic dermatomyositis"
"2335","vitamin D dietary intake measurement"
"2336","response to opioid"
"2337","complement C3d subcomponent measurement"
"2338","c3d:C3 ratio"
"2339","analgesia requirement measurement"
"2340","autoimmune hepatitis"
"2341","HSV2 virologic severity measurement"
"2342","aortic stenosis"
"2343","breast milk measurement"
"2344","choroidal melanoma"
"2345","idiopathic dilated cardiomyopathy"
"2346","tobacco smoke exposure measurement"
"2347","vitamin supplement exposure measurement"
"2348","alcohol exposure measurement"
"2349","in utero exposure measurement"
"2350","aortic coarctation"
"2351","idiopathic intracranial hypertension"
"2352","necrotizing enterocolitis"
"2353","delirium"
"2354","standard deviation of the normal-to-normal inter beat intervals"
"2355","root mean square of the successive differences of inter beat intervals"
"2356","peak-valley respiratory sinus arrhythmia or high frequency power"
"2357","non-melanoma skin carcinoma"
"2358","Hyperhidrosis"
"2359","proprotein convertase subtilisin/kexin type 9 measurementhyperhidrosis"
"2360","Sickle cell disease and related diseases"
"2361","colorectal mucinous adenocarcinoma"
"2362","vestibular neuronitis"
"2363","fibroblast growth factor 23 measurement"
"2364","metabolically healthy obesity"
"2365","pemphigus foliaceus"
"2366","Takayasu arteritis"
"2367","sum of neutrophil and eosinophil counts"
"2368","response to tamoxifen"
"2369","glucose metabolism decline measurement"
"2370","breast pressure measurement"
"2371","hippocampal CA1 volume"
"2372","hippocampal CA3 volume"
"2373","hippocampal CA4 volume"
"2374","hippocampus molecular layer volume"
"2375","hippocampal tail volume"
"2376","subiculum volume"
"2377","presubiculum volume"
"2378","hippocampal amigdala transition area volume"
"2379","hippocampus fimbria volume"
"2380","arthralgia"
"2381","B-cell non-Hodgkins lymphoma"
"2382","facial wrinkling"
"2383","Stiff neck"
"2384","metrorrhagia"
"2385","abnormal vaginal discharge smell"
"2386","abnormal vaginal discharge itching"
"2387","abnormal peristalsis"
"2388","nervousness"
"2389","sleepiness"
"2390","decreased attention"
"2391","uterine fibroid measurement"
"2392","CCL13 measurement"
"2393","CCL15 measurement"
"2394","CCL17 measurement"
"2395","CCL19 measurement"
"2396","CCL21 measurement"
"2397","CCL23 measurement"
"2398","CCL24 measurement"
"2399","CX3CL1 measurement"
"2400","CXCL12 measurement"
"2401","CXCL13 measurement"
"2402","CXCL5 measurement"
"2403","CXCL6 measurement"
"2404","interleukin 1 alpha measurement"
"2405","Eczema"
"2406","respiratory system disease"
"2407","beta-lactam allergy measurement"
"2408","household income"
"2409","social deprivation"
"2410","back pain"
"2411","pathological complete response"
"2412","gestational blood glucose measurement"
"2413","foot muscle strength measurement"
"2414","visual perception measurement"
"2415","visceral:total adipose tissue ratio"
"2416","age at diagnosis"
"2417","fragile X syndrome"
"2418","radiation-induced brain injury"
"2419","small intestine enteropathy"
"2420","brain infarction"
"2421","anterior uveitis"
"2422","cesarean section"
"2423","autoimmune type 1 diabetes"
"2424","idiopathic type 1 diabetes"
"2425","fulminant type 1 diabetes"
"2426","eye colour measurement"
"2427","healthspan"
"2428","peak expiratory flow"
"2429","alanine measurement"
"2430","asparagine measurement"
"2431","glycine measurement"
"2432","glutamine measurement"
"2433","histidine measurement"
"2434","leucine measurement"
"2435","methionine measurement"
"2436","proline measurement"
"2437","serine measurement"
"2438","threonine measurement"
"2439","ornithine measurement"
"2440","citrulline measurement"
"2441","Nasal cavity polyp"
"2442","tri-iodothyronine measurement"
"2443","tri-iodothyronine/thyroxine ratio measurement"
"2444","progesterone-receptor positive breast cancer"
"2445","progesterone-receptor negative breast cancer"
"2446","HER2 negative breast carcinoma"
"2447","carotid atherosclerosis"
"2448","central serous retinopathy"
"2449","remission"
"2450","total hip arthroplasty"
"2451","carpal tunnel syndrome"
"2452","neutropenia"
"2453","chromosomal aberration frequency"
"2454","chromosome-type aberration frequency"
"2455","chromatid-type aberration frequency"
"2456","treatment resistant depression"
"2457","frontal fibrosing alopecia"
"2458","lichen planopilaris"
"2459","ruminative stress response"
"2460","brooding stress response"
"2461","reflective stress response"
"2462","carbamazepine-induced hyponatremia"
"2463","oxcarbazepine-induced hyponatremia"
"2464","response to oxcarbazepine"
"2465","facial attractiveness measurement"
"2466","vesicoureteric reflex"
"2467","sum of basophil and neutrophil counts"
"2468","platelet-to-lymphocyte ratio"
"2469","neutrophil-to-lymphocyte ratio"
"2470","magnesium:creatinine ratio measurement"
"2471","fractional excretion of magnesium measurement"
"2472","activities of daily living score measurement"
"2473","mid-arm muscle circumference measurement"
"2474","calf circumference measurement"
"2475","short physical performance battery score measurement"
"2476","sleep apnea measurement during REM sleep"
"2477","sleep apnea measurement during non-REM sleep"
"2478","immunosuppressive agent"
"2479","cannabis dependence measurement"
"2480","tacrolimus measurement"
"2481","response to mepolizumab"
"2482","pregnancy induced alloimmunization"
"2483","colorectal health"
"2484","glucagon measurement"
"2485","glucose-dependent insulinotropic peptide (GIP) measurement"
"2486","glucagon-like peptide-1 measurement"
"2487","lateral ventricle volume measurement"
"2488","osteoarthritis of the hip"
"2489","Matrix Metalloproteinase 8 Measurement"
"2490","tryptophan measurement"
"2491","post-traumatic stress disorder symptom measurement"
"2492","anti-centromere-antibody-positive systemic scleroderma"
"2493","anti-topoisomerase-I-antibody-positive systemic scleroderma"
"2494","cholangiocarcinoma"
"2495","esterified cholesterol measurement"
"2496","free cholesterol measurement"
"2497","high density lipoprotein particle size measurement"
"2498","low density lipoprotein particle size measurement"
"2499","very low density lipoprotein particle size measurement"
"2500","intermediate density lipoprotein measurement"
"2501","chylomicron measurement"
"2502","acute respiratory distress syndrome"
"2503","psychological measurement"
"2504","negative domain measurement"
"2505","positive domain measurement"
"2506","cognitive domain measurement"
"2507","arousal domain measurement"
"2508","social domain measurement"
"2509","age at first birth measurement"
"2510","number of children ever born measurement"
"2511","theory of mind measurement"
"2512","seborrheic dermatitis"
"2513","adrenal suppression measurement"
"2514","myopic maculopathy severity measurement"
"2515","neurofilament light chain measurement"
"2516","beta-secretase 1 measurement"
"2517","response to synacthen"
"2518","rosacea severity measurement"
"2519","growth differentiation factor 15 measurement"
"2520","psychotic symptom measurement"
"2521","empathy measurement"
"2522","dead"
"2523","hyperemesis gravidarum"
"2524","response to aripiprazole"
"2525","maximum cigarettes per day measurement"
"2526","nicotine withdrawal symptom count"
"2527","nicotine dependence symptom count"
"2528","nausea and vomiting of pregnancy severity measurement"
"2529","refractory celiac disease"
"2530","family history of Alzheimer’s disease"
"2531","ADAMTS13 measurement"
"2532","heel bone mineral density"
"2533","Epstein Barr virus nuclear antigen-1 seropositivity"
"2534","Epstein Barr viral capsid antigen seropositivity"
"2535","anti-Epstein Barr virus antibody measurement"
"2536","Epstein Barr viral capsid antigen IgG measurement"
"2537","supraventricular ectopy"
"2538","ventricular ectopy"
"2539","premature cardiac contractions"
"2540","cranial vault morphology measurement"
"2541","response to tenofovir"
"2542","choroidal thickness measurement"
"2543","sodium measurement"
"2544","potassium measurement"
"2545","chloride measurement"
"2546","fractional shortening"
"2547","heart relative wall thickness"
"2548","posterior wall thickness"
"2549","left ventricular mass"
"2550","left ventricular mass index"
"2551","fructosamine measurement"
"2552","percent glycated albumin"
"2553","total glycated albumin"
"2554","atazanavir measurement"
"2555","response to long-chain n-3 PUFA dietary supplementation"
"2556","Hirsutism"
"2557","uveitis"
"2558","diabetic macular edema"
"2559","proliferative diabetic retinopathy"
"2560","cerebral cortex growth measurement"
"2561","prefrontal cortex growth measurement"
"2562","white matter growth measurement"
"2563","basal ganglia growth measurement"
"2564","cerebellum growth measurement"
"2565","brain growth measurement"
"2566","executive function measurement"
"2567","Chlamydia trachomatis seropositivity"
"2568","erosive tooth wear measurement"
"2569","APOL1 risk genotype carrier status"
"2570","alpha synuclein measurement"
"2571","velopharyngeal dysfunction"
"2572","Duchenne muscular dystrophy"
"2573","thyroid nodule"
"2574","Epstein-Barr virus early antigen seropositivity"
"2575","Herpes simplex virus 2 seropositivity"
"2576","Varicella zoster virus seropositivity"
"2577","Helicobacter pylori seropositivity"
"2578","Measles virus seropositivity"
"2579","Mumps virus seropositivity"
"2580","Rubella virus seropositivity"
"2581","Hepatitis B virus surface antigen seropositivity"
"2582","Hepatitis B virus core antigen seropositivity"
"2583","Anti-cytomegalovirus IgG measurement"
"2584","Anti-Epstein-Barr virus early antigen IgG measurement"
"2585","Anti-herpes simplex virus 1 IgG measurement"
"2586","Anti-herpes simplex virus 2 IgG measurement"
"2587","Anti-varicella zoster virus IgG measurement"
"2588","Anti-Helicobacter pylori IgG measurement"
"2589","Anti-Toxoplasma gondii IgG measurement"
"2590","Anti-influenza A virus IgG measurement"
"2591","Anti-measles virus IgG measurement"
"2592","Anti-mumps virus IgG measurement"
"2593","Anti-rubella virus IgG measurement"
"2594","Anti-hepatitis B virus surface antigen IgG measurement"
"2595","Anti-hepatitis B virus core antigen IgG measurement"
"2596","eyelid sagging measurement"
"2597","vulvovaginitis"
"2598","chronic central serous retinopathy"
"2599","non-allergic rhinitis"
"2600","vaginal discharge"
"2601","radon exposure measurement"
"2602","quality of life during menstruation measurement"
"2603","glucose metabolism measurement"
"2604","factor VII activating protease measurement"
"2605","diffusing capacity of the lung for carbon monoxide"
"2606","ketogenic diet"
"2607","response to ketogenic diet"
"2608","edema"
"2609","diverticulitis"
"2610","sum of eosinophil and basophil counts"
"2611","granule cell layer dentate gyrus volume"
"2612","hippocampal fissure volume"
"2613","parasubiculum volume"
"2614","arthritis disease activity score measurement"
"2615","offspring survival measurement"
"2616","offspring mortality measurement"
"2617","number of pregnancies measurement"
"2618","multiple births measurement"
"2619","age at last pregnancy measurement"
"2620","Waldenstrom macroglobulinemia"
"2621","BRCAX breast cancer"
"2622","diverticular disease"
"2623","Insulinogenic index measurement"
"2624","pneumococcal meningitis"
"2625","response to radioiodine"
"2626","bipolar I disorder"
"2627","bipolar II disoder"
"2628","Schizoaffective disorder-bipolar type"
